paper_id,catalyst,threshold,normalized_final_activity,status,lower_h,upper_h,evidence_semantics,notes
P2022_JIN,Ni/Al2O3,t95,0.4085,interval,0,100,derived_from_two_source_observed_endpoints_no_interpolation,"First passage is only known to occur within the 100-h observation interval; no exact threshold time is inferred."
P2022_JIN,Ni/Al2O3,t90,0.4085,interval,0,100,derived_from_two_source_observed_endpoints_no_interpolation,"First passage is only known to occur within the 100-h observation interval; no exact threshold time is inferred."
P2022_JIN,Ni/Al2O3,t80,0.4085,interval,0,100,derived_from_two_source_observed_endpoints_no_interpolation,"First passage is only known to occur within the 100-h observation interval; no exact threshold time is inferred."
P2022_JIN,2ZrO2-Ni/Al2O3,t95,0.7095,interval,0,100,derived_from_two_source_observed_endpoints_no_interpolation,"First passage is only known to occur within the 100-h observation interval; no exact threshold time is inferred."
P2022_JIN,2ZrO2-Ni/Al2O3,t90,0.7095,interval,0,100,derived_from_two_source_observed_endpoints_no_interpolation,"First passage is only known to occur within the 100-h observation interval; no exact threshold time is inferred."
P2022_JIN,2ZrO2-Ni/Al2O3,t80,0.7095,interval,0,100,derived_from_two_source_observed_endpoints_no_interpolation,"First passage is only known to occur within the 100-h observation interval; no exact threshold time is inferred."
P2022_JIN,5ZrO2-Ni/Al2O3,t95,0.7391,interval,0,100,derived_from_two_source_observed_endpoints_no_interpolation,"First passage is only known to occur within the 100-h observation interval; no exact threshold time is inferred."
P2022_JIN,5ZrO2-Ni/Al2O3,t90,0.7391,interval,0,100,derived_from_two_source_observed_endpoints_no_interpolation,"First passage is only known to occur within the 100-h observation interval; no exact threshold time is inferred."
P2022_JIN,5ZrO2-Ni/Al2O3,t80,0.7391,interval,0,100,derived_from_two_source_observed_endpoints_no_interpolation,"First passage is only known to occur within the 100-h observation interval; no exact threshold time is inferred."
P2022_JIN,10ZrO2-Ni/Al2O3,t95,,unknown,,,qualitative_source_statement_only,"Author text states no deactivation over 100 h, but the numerical trajectory/end value has not been recovered; qualitative wording is not converted into a censor bound."
P2022_JIN,10ZrO2-Ni/Al2O3,t90,,unknown,,,qualitative_source_statement_only,"Author text states no deactivation over 100 h, but the numerical trajectory/end value has not been recovered; qualitative wording is not converted into a censor bound."
P2022_JIN,10ZrO2-Ni/Al2O3,t80,,unknown,,,qualitative_source_statement_only,"Author text states no deactivation over 100 h, but the numerical trajectory/end value has not been recovered; qualitative wording is not converted into a censor bound."
