observation_id,paper_id,catalyst,temperature_C,metric,threshold,status,lower_h,upper_h,source_start_h,source_end_h,start_value,end_value,normalized_end,source_location,source_url,note
T2022_SHI_REF_CH4_95,P2022_SHI,Ni/Al2O3,700,CH4_conversion,0.95,interval,0,50,0,50,80,76,0.9500,Figure 7 + Results text,https://pmc.ncbi.nlm.nih.gov/articles/PMC9101347/,Endpoint-only text bounds first passage; full curve may tighten interval.
T2022_SHI_REF_CH4_90,P2022_SHI,Ni/Al2O3,700,CH4_conversion,0.90,right_censored,50,,0,50,80,76,0.9500,Figure 7 + Results text,https://pmc.ncbi.nlm.nih.gov/articles/PMC9101347/,Activity remains above 90% of initial at 50 h.
T2022_SHI_REF_CH4_80,P2022_SHI,Ni/Al2O3,700,CH4_conversion,0.80,right_censored,50,,0,50,80,76,0.9500,Figure 7 + Results text,https://pmc.ncbi.nlm.nih.gov/articles/PMC9101347/,Activity remains above 80% of initial at 50 h.
T2022_SHI_REF_CO2_95,P2022_SHI,Ni/Al2O3,700,CO2_conversion,0.95,right_censored,50,,0,50,87,84,0.9655,Figure 7 + Results text,https://pmc.ncbi.nlm.nih.gov/articles/PMC9101347/,CO2 retention remains above 95% at 50 h.
T2026_ZHANG_R800_550_CH4_95,P2026_ZHANG,5Ni/Al2O3-R800,550,CH4_conversion,0.95,interval,0,20,0,20,20.4,12.6,0.6176,Figure 3i,https://orca.cardiff.ac.uk/id/eprint/186067/1/1-s2.0-S0926337326003255-main.pdf,Endpoint-only evidence; exact crossing time not inferred.
T2026_ZHANG_R800_550_CH4_90,P2026_ZHANG,5Ni/Al2O3-R800,550,CH4_conversion,0.90,interval,0,20,0,20,20.4,12.6,0.6176,Figure 3i,https://orca.cardiff.ac.uk/id/eprint/186067/1/1-s2.0-S0926337326003255-main.pdf,Endpoint-only evidence; exact crossing time not inferred.
T2026_ZHANG_R800_550_CH4_80,P2026_ZHANG,5Ni/Al2O3-R800,550,CH4_conversion,0.80,interval,0,20,0,20,20.4,12.6,0.6176,Figure 3i,https://orca.cardiff.ac.uk/id/eprint/186067/1/1-s2.0-S0926337326003255-main.pdf,Endpoint-only evidence; exact crossing time not inferred.
T2026_ZHANG_R600_550_CH4_95,P2026_ZHANG,5Ni/Al2O3-R600,550,CH4_conversion,0.95,interval,0,20,0,20,17.2,15.8,0.9186,Figure 3j,https://orca.cardiff.ac.uk/id/eprint/186067/1/1-s2.0-S0926337326003255-main.pdf,Retained about 92% after 20 h.
T2026_ZHANG_R600_550_CH4_90,P2026_ZHANG,5Ni/Al2O3-R600,550,CH4_conversion,0.90,right_censored,20,,0,20,17.2,15.8,0.9186,Figure 3j,https://orca.cardiff.ac.uk/id/eprint/186067/1/1-s2.0-S0926337326003255-main.pdf,Threshold not crossed during observed 20 h.
T2026_ZHANG_R600_550_CH4_80,P2026_ZHANG,5Ni/Al2O3-R600,550,CH4_conversion,0.80,right_censored,20,,0,20,17.2,15.8,0.9186,Figure 3j,https://orca.cardiff.ac.uk/id/eprint/186067/1/1-s2.0-S0926337326003255-main.pdf,Threshold not crossed during observed 20 h.
T2026_ZHANG_R800_600_CH4_95,P2026_ZHANG,5Ni/Al2O3-R800,600,CH4_conversion,0.95,interval,0,20,0,20,26.9,19.1,0.7100,Figure 3e,https://orca.cardiff.ac.uk/id/eprint/186067/1/1-s2.0-S0926337326003255-main.pdf,All tracked thresholds crossed within 20 h.
T2026_ZHANG_R800_600_CH4_90,P2026_ZHANG,5Ni/Al2O3-R800,600,CH4_conversion,0.90,interval,0,20,0,20,26.9,19.1,0.7100,Figure 3e,https://orca.cardiff.ac.uk/id/eprint/186067/1/1-s2.0-S0926337326003255-main.pdf,All tracked thresholds crossed within 20 h.
T2026_ZHANG_R800_600_CH4_80,P2026_ZHANG,5Ni/Al2O3-R800,600,CH4_conversion,0.80,interval,0,20,0,20,26.9,19.1,0.7100,Figure 3e,https://orca.cardiff.ac.uk/id/eprint/186067/1/1-s2.0-S0926337326003255-main.pdf,All tracked thresholds crossed within 20 h.
T2026_ZHANG_R600_600_CH4_95,P2026_ZHANG,5Ni/Al2O3-R600,600,CH4_conversion,0.95,interval,20,50,20,50,18.6,16.5,0.8871,Figure 3f,https://orca.cardiff.ac.uk/id/eprint/186067/1/1-s2.0-S0926337326003255-main.pdf,At 20 h activity is still above t95 threshold; by 50 h it is below. Text and figure values differ slightly but classification is unchanged.
T2026_ZHANG_R600_600_CH4_90,P2026_ZHANG,5Ni/Al2O3-R600,600,CH4_conversion,0.90,interval,20,50,20,50,18.6,16.5,0.8871,Figure 3f,https://orca.cardiff.ac.uk/id/eprint/186067/1/1-s2.0-S0926337326003255-main.pdf,At 20 h activity is above 90% of initial; by 50 h it is below.
T2026_ZHANG_R600_600_CH4_80,P2026_ZHANG,5Ni/Al2O3-R600,600,CH4_conversion,0.80,right_censored,50,,0,50,19.4,16.5,0.8505,Figure 3f,https://orca.cardiff.ac.uk/id/eprint/186067/1/1-s2.0-S0926337326003255-main.pdf,Activity remains above 80% of initial at 50 h.
