paper_id,catalyst,metric,time_lower_h,time_upper_h,value,value_unit,value_status,source_location,extraction_method,conditions,notes
P2021_FRANZ,REF,CH4_conversion,0,0,40,percent,approx_reported,Section 2.2 text,reported_text,"10 mg catalyst; 650 C; 100 mL min^-1; 25% CH4; 25% CO2 in N2; fresh first DRM cycle","Text: initial methane conversion approx. 40%."
P2021_FRANZ,REF,CH4_conversion,6,8,25,percent,approx_reported,Section 2.2 text,reported_text,"10 mg catalyst; 650 C; 100 mL min^-1; 25% CH4; 25% CO2 in N2; fresh first DRM cycle","Text: within first 6-8 h deactivation leads to ca. 25% conversion. Time is interval-valued; do not treat 8 h as an exact event time."
P2021_FRANZ,REF,CH4_conversion,24,24,22,percent,approx_digitized,Figure 6 and Section 2.2,visual_digitization_plus_text,"10 mg catalyst; 650 C; 100 mL min^-1; 25% CH4; 25% CO2 in N2; fresh first DRM cycle","Text says final conversion slightly higher than 20% after 24 h; 22% is provisional visual digitization for sensitivity calculations only."
P2021_FRANZ,1Fe1Ni,CH4_conversion,0,0,24,percent,approx_digitized,Figure 6,visual_digitization,"10 mg catalyst; 650 C; 100 mL min^-1; 25% CH4; 25% CO2 in N2; fresh first DRM cycle","Provisional visual read of the induction-period starting point (~24%); retain an approximate flag and do not use as an exact reported number."
P2021_FRANZ,1Fe1Ni,CH4_conversion,2,24,30,percent,approx_reported,Section 2.2 text,reported_text,"10 mg catalyst; 650 C; 100 mL min^-1; 25% CH4; 25% CO2 in N2; fresh first DRM cycle","Text: takes ca. 2 h to reach a stable conversion of only 30% that remains unchanged during the subsequent 22 h."
P2021_FRANZ,0.5Fe1Ni,CH4_conversion,1,1,42,percent,approx_reported,Section 2.2 text,reported_text,"10 mg catalyst; 650 C; 100 mL min^-1; 25% CH4; 25% CO2 in N2; fresh first DRM cycle","Text: conversion first increases to ca. 42% in the first 60 min TOS."
P2021_FRANZ,0.5Fe1Ni,CH4_conversion,24,24,40,percent,approx_reported,Section 2.2 text,reported_text,"10 mg catalyst; 650 C; 100 mL min^-1; 25% CH4; 25% CO2 in N2; fresh first DRM cycle","Text: decreases very slowly and reaches 40% after 24 h TOS."
P2021_FRANZ,1Fe1Ni,coke_after_reaction,24,24,2.4,wt_percent,reported,Section 2.2 text,reported_text,"10 mg catalyst; 650 C; 100 mL min^-1; 25% CH4; 25% CO2 in N2; fresh first DRM cycle","Reported coke after reaction; mechanism evidence for Fe-promoted stability."
P2021_FRANZ,0.5Fe1Ni,coke_after_reaction,24,24,13.2,wt_percent,reported,Section 2.2 text,reported_text,"10 mg catalyst; 650 C; 100 mL min^-1; 25% CH4; 25% CO2 in N2; fresh first DRM cycle","Reported coke after reaction."
P2021_FRANZ,0.25Fe1Ni,coke_after_reaction,24,24,33.2,wt_percent,reported,Section 2.2 text,reported_text,"10 mg catalyst; 650 C; 100 mL min^-1; 25% CH4; 25% CO2 in N2; fresh first DRM cycle","Reported coke after reaction; shows non-monotonic coke response at lower Fe loading."
